
-0.2082,-0.1675,0.6790
-0.4283,0.2297,0.8632
-0.0790,-0.7657,0.4181
-0.4211,-0.2297,0.7388
0.4786,0.1603,1.1073
-0.4475,0.0383,1.0068
0.2034,0.1627,0.6431
-0.6389,0.0263,0.4564
-0.8710,-0.1938,0.7555
-0.5264,-0.5862,0.8321
-1.1653,-1.3137,0.9254
-0.8447,-1.3304,0.4086
-0.7609,-1.3615,0.1717
-0.7753,-1.6582,0.7484
-0.3733,-2.0746,0.5450
-0.1436,-1.4357,0.5258
-0.3661,-1.7348,0.6694
1.0816,-2.2564,0.8776
0.6556,-2.6656,0.8632
0.6006,-2.6201,0.4253
0.7035,-2.2923,0.8417
1.3759,-2.4574,0.5713
0.9428,-2.2325,0.9326
0.9978,-2.1751,0.8489
0.5336,-2.2158,0.3583
0.4522,-1.6798,0.7125
0.7418,-1.9167,0.9733
0.7442,-1.3902,1.0427
1.2012,-1.4501,0.2818
1.3950,-1.4213,0.5665
2.1368,-1.1007,0.7531
1.4572,-0.8447,1.1169
1.9190,-0.7825,0.9135
1.8808,-0.9715,0.9254
1.7109,-0.5695,1.0714
2.1440,-1.0768,1.0116
2.5077,-0.4259,0.7292
2.2014,-1.1414,0.4804
-0.1627,-0.5384,1.1384
-0.0120,-0.1747,0.7843
-0.5910,-1.0839,0.7579
-0.5432,-0.5862,0.8417
-1.3783,-1.0744,0.7364
-1.6798,-0.4618,0.9135
-1.3352,-0.1795,0.5809
-0.4259,-0.1507,0.5904
-1.2610,0.2417,0.7914
-1.7635,0.8136,0.8584
-2.1440,1.7396,0.8967
-1.2802,1.6869,1.0331
-0.4834,2.1559,0.1478
-0.2201,1.5458,0.9422
-0.5671,1.7133,0.7866
-0.3398,1.6199,0.9781
0.0191,2.3976,1.0020
-0.1244,1.6893,0.6670
0.4522,2.4550,0.4660
0.4187,2.1966,0.7771
-0.9069,1.8616,1.2221
-0.0048,2.1727,0.8871
0.1340,1.2993,0.9446
0.8088,1.1462,0.4062
0.5599,1.4979,0.7747
0.6245,0.9978,1.2269
1.8520,0.7705,1.1958
1.8568,-0.0215,1.4830
1.9765,0.0502,-0.0724
1.4070,-0.2177,0.3990
1.5912,-0.4881,0.5234
2.4861,-0.5599,0.8369
2.3450,0.1986,0.9398
1.4692,-1.3615,1.5093
1.5960,-1.0217,0.3153
0.7585,-2.2469,0.1119
0.5360,-2.0219,0.9900
0.4044,-2.0171,0.8225
0.4379,-2.0363,0.8728
0.4211,-1.9310,0.8417
0.4283,-2.0004,0.5019
0.2560,-1.8999,0.8465
0.1771,-2.1248,0.7316
-0.0144,-1.8664,0.5593
0.4427,-2.0411,0.5234
0.3781,-2.0913,0.6311
0.3972,-1.8162,0.7938
0.0502,-2.1583,0.9398
-0.6173,-1.8329,0.7388
0.1603,-3.0485,0.8824
1.1222,-2.9910,0.4780
0.5240,-3.0676,0.6718
0.3374,-2.5220,0.6670
0.4546,-2.2181,0.7579
0.8088,-1.5218,0.7340
1.0504,-0.6963,0.4014
1.4309,-0.5240,0.9278
0.8327,1.2634,0.9517
-0.4331,1.8784,0.5043
-0.9093,3.0437,0.7196
-0.9547,3.0748,0.8249
